pubmed	haspdf	year	journal
27210743	1	2016	Am J Hum Genet
27236917	1	2016	Am J Hum Genet
27236922	1	2016	Am J Hum Genet
27236923	1	2016	Am J Hum Genet
27259050	1	2016	Am J Hum Genet
27321946	1	2016	Am J Hum Genet
27392076	1	2016	Am J Hum Genet
27453576	1	2016	Am J Hum Genet
27476655	1	2016	Am J Hum Genet
27486780	1	2016	Am J Hum Genet
27499521	1	2016	Am J Hum Genet
27545674	1	2016	Am J Hum Genet
27588448	1	2016	Am J Hum Genet
27588451	1	2016	Am J Hum Genet
27693231	1	2016	Am J Hum Genet
27745833	1	2016	Am J Hum Genet
27773429	1	2016	Am J Hum Genet
27773430	1	2016	Am J Hum Genet
27843124	1	2016	Am J Hum Genet
27843125	1	2016	Am J Hum Genet
27866708	1	2016	Am J Hum Genet
27889058	1	2016	Am J Hum Genet
27939640	1	2017	Am J Hum Genet
28017374	1	2017	Am J Hum Genet
28017375	1	2017	Am J Hum Genet
28089251	1	2017	Am J Hum Genet
28132686	1	2017	Am J Hum Genet
28132687	1	2017	Am J Hum Genet
28157540	1	2017	Am J Hum Genet
28190456	1	2017	Am J Hum Genet
28215400	1	2017	Am J Hum Genet
28257690	1	2017	Am J Hum Genet
28285769	1	2017	Am J Hum Genet
28318499	1	2017	Am J Hum Genet
28343629	1	2017	Am J Hum Genet
28413018	1	2017	Am J Hum Genet
28413019	1	2017	Am J Hum Genet
28475860	1	2017	Am J Hum Genet
28475863	1	2017	Am J Hum Genet
28552195	1	2017	Am J Hum Genet
28575651	1	2017	Am J Hum Genet
28686858	1	2017	Am J Hum Genet
28823707	1	2017	Am J Hum Genet
28886341	1	2017	Am J Hum Genet
28942964	1	2017	Am J Hum Genet
28942965	1	2017	Am J Hum Genet
28965845	1	2017	Am J Hum Genet
29100088	1	2017	Am J Hum Genet
29100089	1	2017	Am J Hum Genet
29100090	1	2017	Am J Hum Genet
29100091	1	2017	Am J Hum Genet
29100094	1	2017	Am J Hum Genet
29106824	1	2017	Am J Hum Genet
29198720	1	2017	Am J Hum Genet
29198724	1	2017	Am J Hum Genet
29220674	1	2017	Am J Hum Genet
29394991	1	2018	Am J Hum Genet
29395074	1	2018	Am J Hum Genet
29395075	1	2018	Am J Hum Genet
29499164	1	2018	Am J Hum Genet
29606301	1	2018	Am J Hum Genet
20799323	1	2010	Am J Med Genet A
21574244	1	2011	Am J Med Genet A
21739582	1	2011	Am J Med Genet A
22012839	1	2011	Am J Med Genet A
22473653	1	2012	Am J Med Genet A
22987770	1	2012	Am J Med Genet A
24357509	1	2014	Am J Med Genet A
27250922	1	2016	Am J Med Genet A
20029941	1	2010	Am J Med Genet B Neuropsychiatr Genet
29168327	1	2017	Am J Med Genet C Semin Med Genet
20691350	1	2010	Am J Orthod Dentofacial Orthop
19948822	1	2010	Am J Pathol
19948823	1	2010	Am J Pathol
19948826	1	2010	Am J Pathol
19948830	1	2010	Am J Pathol
19948832	1	2010	Am J Pathol
19948833	1	2010	Am J Pathol
19959810	1	2010	Am J Pathol
19959813	1	2010	Am J Pathol
19959814	1	2010	Am J Pathol
19959815	1	2010	Am J Pathol
20008127	1	2010	Am J Pathol
20008129	1	2010	Am J Pathol
20008131	1	2010	Am J Pathol
20008132	1	2010	Am J Pathol
20008134	1	2010	Am J Pathol
20008136	1	2010	Am J Pathol
20008137	1	2010	Am J Pathol
20008138	1	2010	Am J Pathol
20008141	1	2010	Am J Pathol
20008144	1	2010	Am J Pathol
20008145	1	2010	Am J Pathol
20008146	1	2010	Am J Pathol
20008147	1	2010	Am J Pathol
20008149	1	2010	Am J Pathol
20008150	1	2010	Am J Pathol
20019182	1	2010	Am J Pathol
20019186	1	2010	Am J Pathol
20019187	1	2010	Am J Pathol
20019190	1	2010	Am J Pathol
20019195	1	2010	Am J Pathol
20035049	1	2010	Am J Pathol
20035050	1	2010	Am J Pathol
20035052	1	2010	Am J Pathol
20035055	1	2010	Am J Pathol
20035057	1	2010	Am J Pathol
20035058	1	2010	Am J Pathol
20035060	1	2010	Am J Pathol
20042665	1	2010	Am J Pathol
20042666	1	2010	Am J Pathol
20042669	1	2010	Am J Pathol
20042670	1	2010	Am J Pathol
20042672	1	2010	Am J Pathol
20042673	1	2010	Am J Pathol
20042674	1	2010	Am J Pathol
20042677	1	2010	Am J Pathol
20042680	1	2010	Am J Pathol
20042681	1	2010	Am J Pathol
20042682	1	2010	Am J Pathol
20056837	1	2010	Am J Pathol
20075196	1	2010	Am J Pathol
20075198	1	2010	Am J Pathol
20075202	1	2010	Am J Pathol
20075204	1	2010	Am J Pathol
20093481	1	2010	Am J Pathol
20093483	1	2010	Am J Pathol
20093484	1	2010	Am J Pathol
20093485	1	2010	Am J Pathol
20093488	1	2010	Am J Pathol
20093491	1	2010	Am J Pathol
20093494	1	2010	Am J Pathol
20093497	1	2010	Am J Pathol
20093498	1	2010	Am J Pathol
20093499	1	2010	Am J Pathol
20093500	1	2010	Am J Pathol
20093502	1	2010	Am J Pathol
20110406	1	2010	Am J Pathol
20110410	1	2010	Am J Pathol
20110411	1	2010	Am J Pathol
20110413	1	2010	Am J Pathol
20110415	1	2010	Am J Pathol
20110418	1	2010	Am J Pathol
20133818	1	2010	Am J Pathol
20133819	1	2010	Am J Pathol
20150430	1	2010	Am J Pathol
20150435	1	2010	Am J Pathol
20167862	1	2010	Am J Pathol
20167865	1	2010	Am J Pathol
20167866	1	2010	Am J Pathol
20167870	1	2010	Am J Pathol
20185580	1	2010	Am J Pathol
20203286	1	2010	Am J Pathol
20228226	1	2010	Am J Pathol
20304950	1	2010	Am J Pathol
20304952	1	2010	Am J Pathol
20304955	1	2010	Am J Pathol
20304958	1	2010	Am J Pathol
20304960	1	2010	Am J Pathol
20304961	1	2010	Am J Pathol
20304963	1	2010	Am J Pathol
20348236	1	2010	Am J Pathol
20348238	1	2010	Am J Pathol
20348240	1	2010	Am J Pathol
20348241	1	2010	Am J Pathol
20348242	1	2010	Am J Pathol
20348244	1	2010	Am J Pathol
20348245	1	2010	Am J Pathol
20363911	1	2010	Am J Pathol
20363912	1	2010	Am J Pathol
20363913	1	2010	Am J Pathol
20363914	1	2010	Am J Pathol
20363915	1	2010	Am J Pathol
20363918	1	2010	Am J Pathol
20363920	1	2010	Am J Pathol
20363924	1	2010	Am J Pathol
20363926	1	2010	Am J Pathol
20382701	1	2010	Am J Pathol
20382703	1	2010	Am J Pathol
20382704	1	2010	Am J Pathol
20382706	1	2010	Am J Pathol
20382707	1	2010	Am J Pathol
20395428	1	2010	Am J Pathol
20395435	1	2010	Am J Pathol
20395436	1	2010	Am J Pathol
20395441	1	2010	Am J Pathol
20395442	1	2010	Am J Pathol
20395445	1	2010	Am J Pathol
20395446	1	2010	Am J Pathol
20395448	1	2010	Am J Pathol
20395449	1	2010	Am J Pathol
20413686	1	2010	Am J Pathol
20413687	1	2010	Am J Pathol
20431028	1	2010	Am J Pathol
20431029	1	2010	Am J Pathol
20431030	1	2010	Am J Pathol
20448060	1	2010	Am J Pathol
20472884	1	2010	Am J Pathol
20472886	1	2010	Am J Pathol
20472890	1	2010	Am J Pathol
20472891	1	2010	Am J Pathol
20472892	1	2010	Am J Pathol
20472894	1	2010	Am J Pathol
20472897	1	2010	Am J Pathol
20472898	1	2010	Am J Pathol
20489138	1	2010	Am J Pathol
20489139	1	2010	Am J Pathol
20489140	1	2010	Am J Pathol
20489143	1	2010	Am J Pathol
20489144	1	2010	Am J Pathol
20489145	1	2010	Am J Pathol
20489146	1	2010	Am J Pathol
20489149	1	2010	Am J Pathol
20489153	1	2010	Am J Pathol
20489155	1	2010	Am J Pathol
20489160	1	2010	Am J Pathol
20508030	1	2010	Am J Pathol
20508033	1	2010	Am J Pathol
20522648	1	2010	Am J Pathol
20522649	1	2010	Am J Pathol
20522651	1	2010	Am J Pathol
20522652	1	2010	Am J Pathol
20558576	1	2010	Am J Pathol
20558581	1	2010	Am J Pathol
20566738	1	2010	Am J Pathol
20566739	1	2010	Am J Pathol
20566741	1	2010	Am J Pathol
20566743	1	2010	Am J Pathol
